|名称=	|よみ=	|所在地=	|電話番号=	|FAX=	|メールアドレス=	|URL=	|備考=	== その他 ==							
高崎市立豊岡小学校		〒370-0874 群馬県高崎市中豊岡町24	027-322-6240	027-328-2273		http://swa.city.takasaki.gunma.jp/toyooka_sho/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
高崎市立豊岡中学校		〒370-0874 群馬県高崎市中豊岡町350-2	027-322-2215	027-328-2279		http://swa.city.takasaki.gunma.jp/toyooka_chu/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
高崎市立八幡中学校		〒370-0884 群馬県高崎市八幡町1300-1	027-343-1222	027-344-4334		http://swa.city.takasaki.gunma.jp/yawata_chu/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
高崎市立西部小学校		〒370-0884 群馬県高崎市八幡町1414	027-343-2545	027-344-4332		http://swa.city.takasaki.gunma.jp/seibu_sho/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
高崎市立八幡小学校		〒370-0884 群馬県高崎市八幡町179-1	027-322-4482	027-328-2192		http://swa.city.takasaki.gunma.jp/yawata_sho/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
玉村町立上陽小学校		〒370-1103 群馬県佐波郡玉村町樋越921-1	0270-65-2350	0270-65-2434		http://www.tamamura.ed.jp/joyo-e/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
玉村町立中央小学校		〒370-1105 群馬県佐波郡玉村町福島401	0270-65-5609	0270-65-8304		http://www.tamamura.ed.jp/chuo-e/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
玉村町立玉村中学校		〒370-1105 群馬県佐波郡玉村町福島913	0270-65-2019	0270-65-2651		http://www.tamamura.ed.jp/tamamura-j/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
玉村町立芝根小学校		〒370-1116 群馬県佐波郡玉村町飯倉39	0270-65-2650	0270-65-9630		http://www.tamamura.ed.jp/shibane-e/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
玉村町立南小学校		〒370-1124 群馬県佐波郡玉村町角渕5011	0270-65-9000	0270-65-3232		http://www.tamamura.ed.jp/minami-e/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
玉村町立南中学校		〒370-1127 群馬県佐波郡玉村町上之手1748	0270-65-8188	0270-65-8189		http://www.tamamura.ed.jp/minami-j/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
玉村町立玉村小学校		〒370-1132 群馬県佐波郡玉村町下新田99-1	0270-65-2304	0270-65-2446		http://tamamura.ed.jp/tamamura-e/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
群馬県立玉村高等学校		〒370-1134 群馬県佐波郡玉村町与六分14	0270-65-2309	0270-64-1870		http://www.gsn.ed.jp/gakko/kou/tamamura/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]			
高崎市立倉賀野中学校		〒370-1201 群馬県高崎市倉賀野町1270	027-346-2308	027-347-1823		http://swa.city.takasaki.gunma.jp/kuragano_chu/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
高崎市立倉賀野小学校		〒370-1201 群馬県高崎市倉賀野町1744	027-346-2209	027-347-1683		http://swa.city.takasaki.gunma.jp/kuragano_sho/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
高崎市立矢中小学校		〒370-1203 群馬県高崎市矢中町160-1	027-352-2937	027-353-1626		http://swa.city.takasaki.gunma.jp/yanaka_sho/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
高崎市立矢中中学校		〒370-1203 群馬県高崎市矢中町700-1	027-347-3636	027-347-1960		http://swa.city.takasaki.gunma.jp/yanaka_chu/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
高崎市立岩鼻小学校		〒370-1206 群馬県高崎市台新田町1	027-346-1420	027-347-1792		http://swa.city.takasaki.gunma.jp/iwahana_sho/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
高崎市立南八幡小学校		〒370-1213 群馬県高崎市山名町24	027-346-2354	027-347-1547		http://swa.city.takasaki.gunma.jp/minamiyawata_sho/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
高崎市立南八幡中学校		〒370-1213 群馬県高崎市山名町30-1	027-346-2337	027-347-1802		http://swa.city.takasaki.gunma.jp/minamiyawata_chu/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
高崎市立新町第二小学校		〒370-1301 群馬県高崎市新町2010	0274-42-6251	0274-42-2912		http://swa.city.takasaki.gunma.jp/shinmachidaini_sho/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
高崎市立新町第一小学校		〒370-1301 群馬県高崎市新町341	0274-42-0933	0274-42-2839		http://swa.city.takasaki.gunma.jp/shinmachidaiichi_sho/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
高崎市立新町中学校		〒370-1301 群馬県高崎市新町361-1	0274-42-0931	0274-42-2806		http://swa.city.takasaki.gunma.jp/shinmachi_chu/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
藤岡市立鬼石中学校		〒370-1401 群馬県藤岡市鬼石235-1	0274-52-2750	0274-52-2752		http://10209.schoolweb.ne.jp/swas/index.php?id=1020005			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
藤岡市立鬼石小学校		〒370-1401 群馬県藤岡市鬼石439	0274-52-2756	0274-52-4213		http://10209.schoolweb.ne.jp/swas/index.php?id=1010011			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
藤岡市立鬼石北小学校		〒370-1406 群馬県藤岡市浄法寺842	0274-52-2754	0274-52-3344		http://10209.schoolweb.ne.jp/swas/index.php?id=1010010			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
群馬県立万場高等学校		〒370-1503 群馬県多野郡神流町生利1549−1	0274-57-3119	0274-57-2453		http://www.gsn.ed.jp/gakko/kou/manba/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]			
神流町立万場小学校		〒370-1504 群馬県多野郡神流町万場甲84	0274-57-2320	0274-57-3851		http://www.kannamachi.jp/~manbasho/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
神流町立中里中学校		〒370-1602 群馬県多野郡神流町神ｹ原422	0274-58-2517	0274-20-6155		http://www3.wind.ne.jp/nakasatochuu/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
上野村立上野小学校		〒370-1611 群馬県多野郡上野村新羽32	0274-59-2004	0274-59-2588		http://www.uenomura.ne.jp/uenosyo/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
上野村立上野中学校		〒370-1617 群馬県多野郡上野村楢原113	0274-59-2040	0274-59-2589		http://www.uenomura.ne.jp/uenochu/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
高崎市立南陽台小学校		〒370-2101 群馬県高崎市吉井町南陽台3-16-1	027-388-3321	027-388-3328		http://swa.city.takasaki.gunma.jp/nanyoudai_sho/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
高崎市立馬庭小学校		〒370-2104 群馬県高崎市吉井町馬庭1033	027-388-3201	027-388-3202		http://swa.city.takasaki.gunma.jp/maniwa_sho/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
群馬県立吉井高等学校		〒370-2104 群馬県高崎市吉井町馬庭1478−1	027-388-3511	027-388-2298		http://www.yoshii-hs.gsn.ed.jp/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]			
高崎市立入野小学校		〒370-2111 群馬県高崎市吉井町小串130	027-387-3216	027-387-2608		http://swa.city.takasaki.gunma.jp/irino_sho/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
高崎市立入野中学校		〒370-2114 群馬県高崎市吉井町石神321-1	027-387-3214	027-387-8641		http://swa.city.takasaki.gunma.jp/irino_chu/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
高崎市立多胡小学校		〒370-2124 群馬県高崎市吉井町塩23	027-387-3217	027-387-3264		http://swa.city.takasaki.gunma.jp/tago_sho/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
高崎市立吉井西小学校		〒370-2127 群馬県高崎市吉井町長根1930	027-387-2817	027-387-2717		http://swa.city.takasaki.gunma.jp/yoshiinishi_sho/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
高崎市立吉井西中学校		〒370-2128 群馬県高崎市吉井町本郷45	027-387-3993	027-387-8642		http://swa.city.takasaki.gunma.jp/yoshiinishi_chu/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
高崎市立吉井小学校		〒370-2132 群馬県高崎市吉井町吉井235-1	027-387-3210	027-387-3554		http://swa.city.takasaki.gunma.jp/yoshii_sho/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
高崎市立吉井中央中学校		〒370-2133 群馬県高崎市吉井町吉井581	027-387-3213	027-387-3106		http://swa.city.takasaki.gunma.jp/yoshiichuou_chu/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
高崎市立岩平小学校		〒370-2138 群馬県高崎市吉井町下奥平205	027-388-3215	027-388-3243		http://swa.city.takasaki.gunma.jp/iwadaira_sho/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
甘楽町立第二中学校		〒370-2202 群馬県甘楽郡甘楽町小幡684-1	0274-74-2019	0274-74-2299		http://www.gsn.ed.jp/gakko/tyu/knrad2jh/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
甘楽町立小幡小学校		〒370-2202 群馬県甘楽郡甘楽町小幡846	0274-74-3176	0274-74-3796		http://www.gsn.ed.jp/gakko/syo/knraobte/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
甘楽町立秋畑小学校		〒370-2204 群馬県甘楽郡甘楽町秋畑1553	0274-74-9502	0274-74-9712		http://www.gsn.ed.jp/gakko/syo/knraakie/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
甘楽町立第一中学校		〒370-2211 群馬県甘楽郡甘楽町小川328-1	0274-74-3154	0274-74-3999		http://www.gsn.ed.jp/gakko/tyu/knrad1jh/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
甘楽町立福島小学校		〒370-2212 群馬県甘楽郡甘楽町福島939	0274-74-3136	0274-74-6736		http://www.gsn.ed.jp/gakko/syo/knrahksm/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
甘楽町立新屋小学校		〒370-2217 群馬県甘楽郡甘楽町天引38-1	0274-74-3174	0274-74-4370		http://www.gsn.ed.jp/gakko/syo/knraniya/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
富岡市立北中学校		〒370-2306 群馬県富岡市相野田636	0274-62-3009	0274-62-6909		http://www.t-kita-jhs.gsn.ed.jp/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
富岡市立小野小学校		〒370-2306 群馬県富岡市相野田726	0274-62-3004	0274-62-3004		http://www.t-ono-es.gsn.ed.jp/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
群馬県立富岡東高等学校		〒370-2316 群馬県富岡市富岡118−6	0274-62-2321	0274-62-2917		http://www.tomihi-hs.gsn.ed.jp/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]			
富岡市立富岡小学校		〒370-2316 群馬県富岡市富岡1359	0274-62-3451	0274-62-3452		http://www.t-tomioka-es.gsn.ed.jp/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
群馬県立富岡実業高等学校		〒370-2316 群馬県富岡市富岡451	0274-62-0690	0274-62-3485		http://www.tomijitu-hs.gsn.ed.jp/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]			
富岡市立東中学校		〒370-2316 群馬県富岡市富岡864	0274-62-3511	0274-62-3512		http://www.t-higashi-jhs.gsn.ed.jp/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
富岡市立額部小学校		〒370-2324 群馬県富岡市南後箇276	0274-62-0737	0274-62-0947		http://www.t-nukabe-es.gsn.ed.jp/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
富岡市立南中学校		〒370-2333 群馬県富岡市中高瀬1118	0274-64-1603	0274-64-1815		http://www.t-minami-jhs.gsn.ed.jp/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
富岡市立高瀬小学校		〒370-2333 群馬県富岡市中高瀬761	0274-62-0578	0274-62-0875		http://www.t-takase-es.gsn.ed.jp/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
富岡市立黒岩小学校		〒370-2341 群馬県富岡市下黒岩1870-1	0274-62-0827	0274-62-0867		http://www.t-kuroiwa-es.gsn.ed.jp/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
富岡市立西小学校		〒370-2343 群馬県富岡市七日市1073-1	0274-62-0811	0274-62-6512		http://www.t-nishi-es.gsn.ed.jp/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
富岡市立富岡中学校		〒370-2343 群馬県富岡市七日市1116-1	0274-62-1741	0274-62-1742		http://www.t-tomioka-jhs.gsn.ed.jp/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
群馬県立富岡高等学校		〒370-2343 群馬県富岡市七日市1425−1	0274-63-0053	0274-62-2745		http://www.gsn.ed.jp/gakko/kou/tomioka/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]			
富岡市立高田小学校		〒370-2412 群馬県富岡市妙義町下高田1552	0274-73-2050	0274-73-7005		http://www.t-takata-es.gsn.ed.jp/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
富岡市立一ノ宮小学校		〒370-2452 群馬県富岡市一ﾉ宮16	0274-62-2034	0274-62-6967		http://www.t-ichinomiya-es.gsn.ed.jp/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
富岡市立西中学校		〒370-2453 群馬県富岡市宮崎20	0274-62-2017	0274-62-2003		http://www.t-nishi-jhs.gsn.ed.jp/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
富岡市立丹生小学校		〒370-2461 群馬県富岡市上丹生3	0274-67-3456	0274-67-3491		http://www.t-nyuu-es.gsn.ed.jp/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
富岡市立吉田小学校		〒370-2464 群馬県富岡市南蛇井275	0274-67-2227	0274-67-4047		http://www.t-yoshida-es.gsn.ed.jp/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
下仁田町立下仁田中学校		〒370-2601 群馬県甘楽郡下仁田町下仁田26	0274-82-2049	0274-82-2093		http://www.town.shimonita.gunma.jp/shimonita-ms/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
群馬県立下仁田高等学校		〒370-2601 群馬県甘楽郡下仁田町下仁田550−1	0274-82-3124	0274-82-2488		http://www.shimonita-hs.gsn.ed.jp/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]			
下仁田町立下仁田小学校		〒370-2601 群馬県甘楽郡下仁田町下仁田73	0274-82-2077	0274-60-3021		http://www.town.shimonita.gunma.jp/shimonita-es/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
下仁田町立馬山小学校		〒370-2603 群馬県甘楽郡下仁田町馬山2697-1	0274-82-2670	0274-60-3022		http://www.town.shimonita.gunma.jp/mayama-es/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
下仁田町立小坂小学校		〒370-2622 群馬県甘楽郡下仁田町中小坂608-1	0274-82-2435	0274-60-3023		http://www.town.shimonita.gunma.jp/osaka-es/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
下仁田町立西牧小学校		〒370-2627 群馬県甘楽郡下仁田町西野牧4641-1	0274-84-2232	0274-60-6002		http://www.town.shimonita.gunma.jp/saimoku-es/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
南牧村立南牧小学校		〒370-2803 群馬県甘楽郡南牧村千原419-1	0274-87-2311	0274-87-2340		http://www.nanmoku.ne.jp/~nansyo/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
南牧村立南牧中学校		〒370-2806 群馬県甘楽郡南牧村大日向1045	0274-87-2501	0274-87-2550		http://www.nanmoku.ne.jp/~nantyu/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
高崎市立箕郷中学校		〒370-3102 群馬県高崎市箕郷町生原654	027-371-3551	027-371-4508		http://swa.city.takasaki.gunma.jp/misato_chu/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
高崎市立箕郷東小学校		〒370-3102 群馬県高崎市箕郷町生原922	027-371-3351	027-371-3615		http://swa.city.takasaki.gunma.jp/misatohigashi_sho/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
高崎市立箕輪小学校		〒370-3105 群馬県高崎市箕郷町西明屋196	027-371-3555	027-371-3943		http://swa.city.takasaki.gunma.jp/minowa_sho/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
高崎市立車郷小学校		〒370-3115 群馬県高崎市箕郷町富岡255-1	027-371-3259	027-371-3450		http://swa.city.takasaki.gunma.jp/kurumasato_sho/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
高崎市立久留馬小学校		〒370-3333 群馬県高崎市高浜町2321	027-343-1199	027-360-4051		http://swa.city.takasaki.gunma.jp/kuruma_sho/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
高崎市立宮沢小学校		〒370-3338 群馬県高崎市宮沢町1100	027-374-2317	027-360-8087		http://swa.city.takasaki.gunma.jp/miyazawa_sho/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
高崎市立下室田小学校		〒370-3342 群馬県高崎市下室田町1206	027-374-1271	027-360-8082		http://swa.city.takasaki.gunma.jp/shimomuroda_sho/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
群馬県立榛名高等学校		〒370-3342 群馬県高崎市下室田町953	027-374-0053	027-374-5684		http://www.gsn.ed.jp/gakko/kou/haruna/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]			
高崎市立下里見小学校		〒370-3343 群馬県高崎市下里見町380	027-343-1277	027-360-4052		http://swa.city.takasaki.gunma.jp/shimosatomi_sho/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
高崎市立榛名中学校		〒370-3345 群馬県高崎市上里見町430	027-374-1455	027-360-8086		http://swa.city.takasaki.gunma.jp/haruna_chu/#			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
高崎市立里見小学校		〒370-3345 群馬県高崎市上里見町甲42-2	027-374-1275	027-360-8088		http://swa.city.takasaki.gunma.jp/satomi_sho/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
高崎市立上室田小学校		〒370-3346 群馬県高崎市上室田町4210	027-374-1273	027-360-8089		http://swa.city.takasaki.gunma.jp/kamimuroda_sho/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
高崎市立中室田小学校		〒370-3347 群馬県高崎市中室田町1561	027-374-1272	027-360-8083		http://swa.city.takasaki.gunma.jp/nakamuroda_sho/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
高崎市立倉渕小学校		〒370-3401 群馬県高崎市倉渕町権田314	027-378-3218	027-378-7008		http://swa.city.takasaki.gunma.jp/kurabuchi_sho/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
高崎市立倉渕中学校		〒370-3404 群馬県高崎市倉渕町岩氷215	027-378-3214	027-378-7003		http://swa.city.takasaki.gunma.jp/kurabuchi_chu/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
榛東村立北小学校		〒370-3502 群馬県北群馬郡榛東村山子田1261	0279-54-3216	0279-54-1974		http://www.shinto-kita-e.ed.jp/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
榛東村立榛東中学校		〒370-3503 群馬県北群馬郡榛東村新井598-1	0279-54-2100	0279-54-1979		http://www.shinto-j.ed.jp/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
榛東村立南小学校		〒370-3504 群馬県北群馬郡榛東村広馬場1142	0279-54-5727	0279-54-1980		http://www.shinto-minami-e.ed.jp/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
高崎市立金古小学校		〒370-3511 群馬県高崎市金古町1271	027-373-2233	027-373-2420		http://swa.city.takasaki.gunma.jp/kaneko_sho/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
明和県央高等学校		〒370-3511 群馬県高崎市金古町28	027-373-5773	027-372-0663		http://www.meiwakenou-h.ed.jp/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]			
高崎市立群馬中央中学校		〒370-3511 群馬県高崎市金古町352-1	027-373-2231	027-373-2232		http://swa.city.takasaki.gunma.jp/gunmachuou_chu/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
高崎市立金古南小学校		〒370-3511 群馬県高崎市金古町658	027-373-2264	027-373-2268		http://swa.city.takasaki.gunma.jp/kanekominami_sho/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
高崎市立国府小学校		〒370-3518 群馬県高崎市後疋間町208	027-373-2237	027-373-2724		http://swa.city.takasaki.gunma.jp/kokufu_sho/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
高崎市立堤ヶ岡小学校		〒370-3521 群馬県高崎市棟高町2227	027-373-2236	027-373-2101		http://swa.city.takasaki.gunma.jp/tsutsumigaoka_sho/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
高崎市立桜山小学校		〒370-3521 群馬県高崎市棟高町2489-1	（不明）			http://swa.city.takasaki.gunma.jp/sakurayama_sho/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
高崎市立群馬南中学校		〒370-3525 群馬県高崎市三ﾂ寺町712	027-372-1525	027-372-1547		http://swa.city.takasaki.gunma.jp/gunmaminami_chu/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
群馬県立二葉高等養護学校		〒370-3531 群馬県高崎市足門町110	027-360-6611	027-360-6612		http://www.futabaky-ses.gsn.ed.jp/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:特別支援学校]]			
群馬県立二葉養護学校		〒370-3531 群馬県高崎市足門町120	027-373-2235	027-372-4216		http://www.futabay-ses.gsn.ed.jp/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:特別支援学校]]			
高崎市立上郊小学校		〒370-3533 群馬県高崎市保渡田町2107	027-373-2238	027-373-2894		http://swa.city.takasaki.gunma.jp/kamisato_sho/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
群馬県立高崎北高等学校		〒370-3534 群馬県高崎市井出町1080	027-373-1611	027-372-4067		http://www.gsn.ed.jp/gakko/kou/takakita/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]			
群馬県立前橋高等養護学校		〒370-3573 群馬県前橋市青梨子町233	027-255-1516	027-255-1560		http://www.gsn.ed.jp/gakko/toku/maebasiky/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:特別支援学校]]			
前橋市立清里小学校		〒370-3573 群馬県前橋市青梨子町446	027-251-9006	027-251-9421		http://menet.ed.jp/kiyosato-es/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
群馬県立前橋西高等学校		〒370-3574 群馬県前橋市清野町180	027-251-8686	027-254-3148		http://www.maenisi-hs.gsn.ed.jp/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]			
吉岡町立駒寄小学校		〒370-3601 群馬県北群馬郡吉岡町漆原1016	0279-54-2300	0279-55-5990		http://www.komayose.jp/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
吉岡町立吉岡中学校		〒370-3604 群馬県北群馬郡吉岡町南下1383-2	0279-54-3213	0279-54-9935		http://www.yoshioka-jhs.jp/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:中学校]]			
吉岡町立明治小学校		〒370-3605 群馬県北群馬郡吉岡町北下433	0279-54-2105	0279-55-5999		http://www.mei-433.jp/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:小学校]]			
群馬県立前橋東高等学校		〒371-0002 群馬県前橋市江木町800	027-263-2855	027-263-2524		http://www.gsn.ed.jp/gakko/kou/maehigasi/			[[Category:群馬県]]	[[Category:図書館]]	[[Category:学校図書館]]	[[Category:高等学校]]			
