館名	郵便番号	住所	電話番号	URL	都道府県
両国花火資料館	130-0026	東京都墨田区両国2-10-8住友不動産両国ビル1F	03-5608-1111		東京都
羽村市郷土博物館	205-0012	東京都羽村市羽741	042-558-2561	http://www.city.hamura.tokyo.jp/museum/museum.html	東京都
羽村市中央児童館	205-0015	東京都羽村市羽中3－6－19	042-554-4552		東京都
羽村市動物公園	205-0012	東京都羽村市羽4122	042-555-2581	http://www.gws.ne.jp/tama-city/ham-zoo/index.html	東京都
原美術館	140-0001	東京都品川区北品川4-7-25	03-3445-0651	http://www.haramuseum.or.jp/	東京都
板観記念館	198-0024	東京都青梅市新町5-6-19	0428-32-6341		東京都
バードプラザ　　　　　　	151-0061	東京都渋谷区初台1-47-1小田急西新宿ビル1F	03-5358-3584	http://www.wbsj.org	東京都
パナソニック電工　汐留ミュージアム 	105-8301	東京都港区東新橋1-5-1パナソニック電工ビル4階		http://panasonic-denko.co.jp/corp/museum/	東京都
パルテノン多摩	206-0033	東京都多摩市落合2-35	042-375-1414	http://www.parthenon.or.jp/	東京都
光が丘美術館	179-0073	東京都練馬区田柄5-27-25	03-3577-7041		東京都
東久留米市郷土資料室	203-0033	東京都東久留米市滝山4-3-14東久留米市わくわく健康プラザ内	042-472-0051	http://www.city.higashikurume.lg.jp/kensaku/citygaide/sinai/sinai_index.htm	東京都
東村山ふるさと歴史館	189-0021	東京都東村山市諏訪町1－6－3	042-396-3800		東京都
東大和市立郷土博物館	207-0031	東京都東大和市奈良橋1-260-2	042-567-4800		東京都
日野市郷土資料館	191-0042	東京都日野市程久保550	042-592-0981	http://www.city.hino.tokyo.jp/museum/	東京都
日野市立中央図書館	191-0053	東京都日野市豊田2－49	042-581-7354		東京都
ひので細工ギャラリー	190-0181	東京都日の出町大久野1205	042-597-2935	http://hinodezaiku.at.infoseek.co.jp/	東京都
桧原村郷土資料館	190-0200	東京都桧原村3221	042-598-0880		東京都
びんの小さな博物館ボトルシアター	165-0035	東京都中野区白鷺3－17－12	03-3337-8685		東京都
Ｐ３　ａｒｔ　ａｎｄ　ｅｎｖｉｒｏｎｍｅｎｔ	160-0004	東京都新宿区四谷4－34東長寺	03-353-6866		東京都
深沢小さな美術館　　　　　　　	190-0172	東京都あきる野市深沢492	042-595-0336		東京都
袋物参考館	111-0053	東京都台東区浅草橋2－4－1プリンセストラヤビル5F	03-3862-2111		東京都
府中市郷土の森博物館	183-0026	東京都府中市南町6-32	042-368-7921	http://www.fuchu-cpf.or.jp/museum/	東京都
府中市美術館	183-0001	東京都府中市浅間町1-3	03-5777-8600（ハローダイヤル）	http://www.city.fuchu.tokyo.jp/art/	東京都
福生市郷土資料室（中央図書館内）	197-0003	東京都福生市熊川850-1	042-530-1120		東京都
船の科学館	135-0092	東京都品川区東八潮3-1	03-5500-1111	http://www.funenokagakukan.or.jp/	東京都
ふるさと工房五日市	190-0174	東京都あきる野市乙津671	042-595-1539		東京都
物流博物館	108-0074	東京都港区高輪4-7-15	03-3280-1616	http://lmuse.or.jp	東京都
ブラマー・ティー＆コーヒー博物館　ロンドン青山館	107-0062	東京都港区南青山1－11－25	03-3408-4012		東京都
ブリヂストン美術館	104-0031	東京都中央区京橋1-10-1ブリヂストンビル	03-5777-8600	http://www.bridgestone-museum.gr.jp	東京都
文化学園服飾博物館	151-8529	東京都渋谷区代々木3-22-7新宿文化クイントビル	03-3299-2387	http://www.bunka.ac.jp/museum/hakubutsu.htm	東京都
Bunkamura ザ・ミュージアム	150-8507	東京都渋谷区道玄坂2-24-1 Bunkamura B1F	03-3477-9413	http://www.bunkamura.co.jp/	東京都
文京区教育センター	112-0012	東京都文京区大塚1－9－22	03-3943-1571		東京都
文京区立鴎外記念本郷図書館　鴎外記念室	113-0022	東京都文京区千駄木1－23－4	03-3828-2070		東京都
文京ふるさと歴史館	113-0033	東京都文京区本郷4-9-29	03-3818-7221	http://www.city.bunkyo.lg.jp/rekishikan/	東京都
平和祈念展示資料館	160-0248	東京都新宿区西新宿2-6-1新宿住友ビル48F	03-5323-8709	http://www.heiwakinen.jp	東京都
平和資料展示室	165-0026	東京都中野区新井3－37－6平和の森公園管理事務所1F	03-385-4150		東京都
ベネッセ・コミュニケーション・ギャラリー	206-8686	東京都多摩市落合1－34ベネッセコーポレーション東京ビル1F	042-356-1049		東京都
星薬科大学　薬用植物園	142-0063	東京都品川区荏原2－4－41	03-3786-1011		東京都
本所防災館	130-0003	東京都墨田区横川4－6－6	03-3621-0119		東京都
ボタンの博物館	103-0007	東京都中央区日本橋浜町1-11-8株式会社アイリス本社4F	03-3864-6537	http://www.iris.co.jp/	東京都
ポーラ　ミュージアム　アネックス	104-0061	東京都中央区銀座1-7-7ポーラ銀座ビル　3階	03-3563-5501	http://www.pola-ma.jp	東京都
ポーラ化粧文化情報センター　	141-0022	東京都品川区東五反田5-24-10テラサキ第3ビル2F ポーラ文化研究所内	03-5795-0941	http://polalib.opac.jp/	東京都
毎日新聞社	100-8051	東京都千代田区一ツ橋1－1－1			東京都
馬驍水墨画展示館	170-0013	東京都豊島区東池袋5－39－16グランドメゾン東池袋101	03-3987-7474		東京都
町田市ふるさと農具館	195-0063	東京都町田市野津田町2288			東京都
町田市フォトサロン	195-0063	東京都町田市野津田町3272薬師池公園内	042-736-8281	http://www9.ocn.ne.jp/~ph.muse/	東京都
町田市立自由民権資料館	195-0063	東京都町田市野津田町897	042-734-4508		東京都
町田市立国際版画美術館	194-0013	東京都町田市原町田4-28-1	042-726-2771	http://www.city.machida.tokyo.jp/shisetsu/cul/cul01hanga/index.html	東京都
町田市立博物館	194-0032	東京都町田市本町田3562	042-726-1531		東京都
まちだ東急百貨店　スターホール	194-0013	東京都町田市原町田6－9－7	042-728-2217		東京都
町田リス園	195-0071	東京都町田市金井町733－1	042-734-1001		東京都
松岡美術館	108-0071	東京都港区白金台5-12-6	03-5449-0251	http://www.matsuoka-museum.jp/	東京都
松屋銀座	104-8130	東京都中央区銀座3-6-1	03-3567-1211	http://www.matsuya.com/ginza/	東京都
水島衣裳雑貨博物館	106-0047	東京都港区南麻布5－5－20－104	03-3473-4260		東京都
瑞穂町郷土資料館	190-1211	東京都瑞穂町石畑1962	042-557-5614		東京都
三鷹市美術ギャラリー	181-0013	東京都三鷹市下連雀3-35-1CORAL5F	0422-79-0033	http://www.mitaka.jpn.org/gallery/	東京都
三鷹市山本有三記念館	181-0013	東京都三鷹市下連雀2－12－27	042-242-6233		東京都
三鷹の森ジブリ美術館	181-0013	東京都三鷹市下連雀1-1-83(都立井の頭恩賜公園西園内)	0570-055777	http://www.ghibli-museum.jp/index.html	東京都
御岳ビジターセンター	198-0175	東京都青梅市御岳山38－5	042-878-9363		東京都
御岳美術館	198-0173	東京都青梅市御岳本町1-1	0428-78-8814	http://www.tamashin.or.jp/	東京都
三井記念美術館	103-0022	東京都中央区日本橋室町二丁目1番1号三井本館7階	03-5777-8600	http://www.mitsui-museum.jp	東京都
港区立港郷土資料館	108-0014	東京都港区芝5-28-4港区立三田図書館4階	03-3452-4966	http://www.lib.city.minato.tokyo.jp/muse/j/	東京都
港区立みなと図書館	105-0011	東京都港区芝公園3－2－25	03-3437-6621		東京都
宮城道雄記念館	162-0835	東京都新宿区中町35	03-3269-0208		東京都
三宅島自然ふれあいセンター・アカコッコ館	100-1211	東京都三宅村坪田4188	04994-6-0410		東京都
ミュゼ浜口陽三・ヤマサコレクション	103-0014	東京都中央区日本橋蛎殻町1-35-7	03-3665-0251	http://www.yamasa.com/musee/	東京都
民音音楽博物館	160-8588	東京都新宿区信濃町8番地	03-5362-3555	http://www.min-on.or.jp/	東京都
向井潤吉アトリエ館	154-0016	東京都世田谷区弦巻2-5-1	03-5450-9581	http://www.mukaijunkichi-annex.jp/main_j/index.htm	東京都
武蔵野音楽大学楽器博物館（江古田校地）	176-0003	東京都練馬区羽沢1－13－1	03-3992-1121		東京都
武蔵野市立吉祥寺美術館	180-0004	東京都武蔵野市吉祥寺本町1-8-16FFビル 7階	0422-22-0385	http://www.musashino-culture.or.jp/a_museum/	東京都
武蔵野美術大学美術資料図書館	187-8505	東京都小平市小川町1-736	042-341-5011	http://www.musabi.ac.jp/library/	東京都
武蔵御嶽神社宝物殿	198-0175	東京都青梅市御岳山176	042-878-8500		東京都
武蔵村山市立歴史民俗資料館	208-0004	東京都武蔵村山市本町5－21－1	042-560-6620		東京都
村井かるた資料館	168-0064	東京都杉並区永福4－32－22	03-3322-1408		東京都
村内美術館	192-8551	東京都八王子市左入町787村内ファニチャーアクセス3F	042-691-6301	http://www.murauchi.net/museum	東京都
明治神宮宝物殿・宝物展示室（明治神宮　文化館）	151-0052	東京都渋谷区代々木神園町1-1	03-3379-5875	http://www.meijijingu.or.jp/	東京都
明治大学刑事博物館	101-0062	東京都千代田区神田駿河台1-1	03-3296-4431	http://www.meiji.ac.jp/museum/	東京都
明治大学商品陳列館	101-0062	東京都千代田区神田駿河台1-1	03-3296-4433	http://www.meiji.ac.jp/museum/	東京都
明治大学考古学博物館	101-8131	東京都千代田区神田駿河台1-1	03-3296-4432	http://www.meiji.ac.jp/museum/	東京都
明治大学博物館	101-8301	東京都千代田区神田駿河台1-1アカデミーコモンB1	03-3296-4448	http://www.meiji.ac.jp/museum/	東京都
明治薬科大学明薬資料館	204-8589	東京都世田谷区野沢1－35－23明治薬科大学内	03-3424-3914	http://www3.my-pharm.ac.jp/Museum/SilverStream/Pages/pgMain.html	東京都
めがねの博物館	150-0043	東京都渋谷区道玄坂2－29－18アイリスメガネ渋谷店 6、7階	03-3496-3315		東京都
財団法人目黒寄生虫館	153-0064	東京都目黒区下目黒4-1-1	03-3716-1264	http://kiseichu.org/	東京都
目黒区立川の資料館	153-0061	東京都目黒区中目黒1－11－18	03-3793-2716		東京都
目黒区美術館	153-0063	東京都目黒区目黒2-4-36	03-3714-1201	http://www.mmat.jp/	東京都
森アーツセンターギャラリー	106-6150	東京都港区六本木6-10-1六本木ヒルズ森タワー52階	03-6406-6855	http://www.roppongihills.com/tcv/	東京都
杜の美術館	197-0003	東京都福生市熊川659熊川神社内	042-551-0720		東京都
森美術館	106-6150	東京都港区六本木6-10-1六本木ヒルズ森タワー53階	03-6406-6100	http://www.mori.art.museum/	東京都
野球体育博物館	112-0004	東京都文京区後楽1-3-61(東京ドーム21ゲート右)	03-3811-3600	http://www.baseball-museum.or.jp/	東京都
八木重吉記念館	194-0211	東京都町田市相原町大戸4473	042-782-2950		東京都
靖國神社・遊就館	102-0073	東京都千代田区九段北3-1-1	03-3261-8326	http://www.yasukuni.or.jp/	東京都
山崎記念中野区立歴史民俗資料館	165-0022	東京都中野区江古田4－3－4	03-3319-9221		東京都
山種美術館	150-0012	東京都渋谷区広尾3－12－36	03-5777-8600（ハローダイヤル）	http://www.yamatane-museum.or.jp/	東京都
弥生美術館	113-0032	東京都文京区弥生2-4-3	03-3812-0012	http://www.yayoi-yumeji-museum.jp/	東京都
夢の島熱帯植物館	136-0081	東京都江東区夢の島3-2	03-3522-0281	http://www.yumenoshima.jp/	東京都
横山大観記念館	110-0008	東京都台東区池之端1-4-24	03-3821-1017		東京都
吉川英治記念館	198-0064	東京都青梅市柚木町1-101-1	0428-76-1575	http://www.kodansha.co.jp/yoshikawa/	東京都
読売新聞社	135-8438	東京都江東区清澄1－2－1			東京都
リコーフォトギャラリー　RING CUBE	104-0061	東京都中央区銀座5-7-2三愛ドリームセンター8F/9F（受付9F）	03-3289-1521	http://ringcube.jp	東京都
リスーピア　RiSuPia	135-0063	東京都江東区有明2-5-18(パナソニックセンター東京内)	03-3599-2600	http://risupia.panasonic.co.jp	東京都
ルーヴル - DNPミュージアムラボ	141-8001	東京都品川区西五反田3-5-20DNP五反田ビル1階	03-5435-0880	http://museumlab.jp	東京都
蘆花記念館	157-0063	東京都世田谷区粕谷1-20-1蘆花恒春園内	03-3302-5016		東京都
早稲田大学坪内博士記念　演劇博物館	169-8050	東京都新宿区西早稲田1-6-1早稲田大学内	03-5286-1829	http://www.waseda.ac.jp/enpaku/index-j.html	東京都
早稲田大学26号館10階125記念室	169-8050	東京都新宿区西早稲田1-6-1大隈記念タワー10階	03-5272-4783	http://www.wasedabunka.jp/	東京都
早稲田大学會津八一記念博物館	169-8050	東京都新宿区　　　西早稲田1-6-12号館	03-5286-3835	http://www.waseda.ac.jp/aizu/index-j.html	東京都
ワタリウム美術館	150-0001	東京都渋谷区神宮前3-7-6	03-3402-3001	http://www.watarium.co.jp/	東京都
Fuji Xerox Art Space	107-0052	東京都港区赤坂9丁目7番3号東京ミッドタウン ガレリア 3F	03-6271-5260		東京都
高島屋・日本橋店	103-8265	東京都中央区日本橋2-4-1	03-3211-4111		東京都
ホテルオークラ東京	105-0001	東京都港区虎ノ門2-10-4	03-3505-6110		東京都
松坂屋・上野店	110-8503	東京都台東区上野3丁目29番5号	03-3832-1111		東京都
小さな博物館　ブレーキ博物館	130-0022	東京都墨田区江東橋1-5-5(中山ライニング工業株式会社・墨田営業所2F)	03-3632-6931		東京都
ヒルサイドフォーラム	150-0033	東京都渋谷区猿楽町18－8	03-5489-3648		東京都
世田谷美術館 成城分館　清川泰次記念ギャラリー	157-0066	東京都世田谷区成城2-22-17	03-3416-1202	http://www.kiyokawataiji-annex.jp/	東京都
伊勢丹・府中店	183-0023	東京都府中市宮町1-41-2	042-334-1111		東京都
愛川町立郷土資料館	243-0307	神奈川県愛川町半原2201	0462-81-1828		神奈川県
足柄森林公園丸太の森	250-0121	神奈川県南足柄市広町1544	0465-74-4510		神奈川県
味の素資料展示室	210-0801	神奈川県川崎市川崎区鈴木町1－1	044-222-1111		神奈川県
厚木市郷土資料館	243-0003	神奈川県厚木市寿町3-15-26	046-225-2515		神奈川県
厚木市子ども科学館	243-0018	神奈川県厚木市中町1－1－3厚木シティプラザ	046-221-4152	http://www.city.atsugi.kanagawa.jp/acsc/index.html	神奈川県
厚木動物メモリアルパーク・動物愛護資料館	243-0121	神奈川県厚木市七沢1470	046-247-1566		神奈川県
アンデスの家・ボリビア	258-0001	神奈川県松田町寄6037	0465-89-2458		神奈川県
あーすぷらざ（神奈川県立地球市民かながわプラザ）	247-0007	神奈川県横浜市栄区小菅ヶ谷1-2-1	045-896-2626	http://www.k-i-a.or.jp/plaza	神奈川県
囲碁ミュージアム	238-0101	神奈川県三浦市南下浦町上宮田3231ホテルマホロバ・マインズ三浦別館1F	0468-89-8930		神奈川県
伊勢原市立子ども科学館	259-1142	神奈川県伊勢原市田中76	0463-92-3600	http://www.city.isehara.kanagawa.jp/kagakukan	神奈川県
岩崎博物館　（ゲーテ座記念）	231-0862	神奈川県横浜市中区山手町254	045-623-2111	http://www.iwasaki.ac.jp/museum/	神奈川県
馬の博物館	231-0853	神奈川県横浜市中区根岸台1-3根岸競馬記念公苑	045-662-7581	http://www.bajibunka.jrao.ne.jp/U/U01.html	神奈川県
映画ポスター館（日高コレクション）	220-0005	神奈川県横浜市西区南幸2－10－13第2河内ビル2F	045-313-4588		神奈川県
江戸民具街道	259-0142	神奈川県中井町久所418	0465-81-5339		神奈川県
江の島サムエル・コッキング苑	251-0036	神奈川県藤沢市江の島2-3-28	0466-22-0209		神奈川県
江島神社弁財天奉安殿	251-0036	神奈川県藤沢市江の島2－3－8	0466-22-4020		神奈川県
海老名市教育センター	243-0434	神奈川県海老名市上郷474－4	0462-33-7771		神奈川県
海老名市立郷土資料館・海老名市温故館	243-0405	神奈川県海老名市国分南1－19－36	0462-33-4028		神奈川県
エリスマン邸	231-0861	神奈川県横浜市中区元町1－77－4	045-211-1101		神奈川県
遠藤貝類博物館	259-0202	神奈川県真鶴町岩479	0466-68-0357		神奈川県
大磯町郷土資料館	255-0005	神奈川県大磯町西小磯446－1	0463-61-4700		神奈川県
大野民俗衣装館	243-0801	神奈川県厚木市上依知2831	046-245-0940		神奈川県
小黒恵子童謡記念館	213-0004	神奈川県川崎市高津区諏訪3－13－8	044-833-9830		神奈川県
大佛次郎記念館	231-0862	神奈川県横浜市中区山手町113	045-622-5002	http://www.yaf.or.jp/facilities/osaragi/	神奈川県
小田急バーチャル鉄道博物館	214-0023	神奈川県川崎市多摩区長尾2－8－11向ケ丘遊園内	044-911-4281	http://www.odakyu.jp/museum/index.html	神奈川県
小田原市郷土文化館	250-0014	神奈川県小田原市城内7－8	0465-23-1377		神奈川県
小田原市郷土文化館分館　松永記念館	250-0034	神奈川県小田原市板橋941－1	0465-22-3635		神奈川県
小田原市尊徳記念館	250-0852	神奈川県小田原市栢山2065－1	0465-36-2381		神奈川県
小田原城天守閣	250-0014	神奈川県小田原市城内6-1	0465-23-3818	http://www.city.odawara.kanagawa.jp/	神奈川県
小田原城歴史見聞館	250-0014	神奈川県小田原市城内3-71	0465-22-5795	http://www.city.odawara.kanagawa.jp/	神奈川県
小田原動物園	250-0014	神奈川県小田原市城内6－1	0465-22-3818	http://www.city.odawara.kanagawa.jp/kanko/Leisure/Castle/doubutuenyuenti.html	神奈川県
小田原フラワーガーデン	250-0055	神奈川県小田原市久野3798-5	0465-34-2814	http://www.city.odawara.kanagawa.jp/public-i/park/garden/garden.html	神奈川県
小田原文学館	250-0013	神奈川県小田原市南町2－3－4	0465-22-9881		神奈川県
小田原街かど博物館　かまぼこ伝統館	250-0000	神奈川県小田原市市浜町3－6－13丸う田代	0465-22-9221		神奈川県
小田原街かど博物館　工芸菓子展示館	250-0011	神奈川県小田原市栄町1－16－46松坂屋	0465-22-3020		神奈川県
小田原街かど博物館　梅万資料館	250-0012	神奈川県小田原市本町4－2－37ちん里う	0465-23-1547		神奈川県
小田原街かど博物館　薬博物館	250-0012	神奈川県小田原市本町4－2－48済生堂薬局小西本店	0465-22-2014		神奈川県
小田原街かど博物館　木象嵌ギャラリー	250-0013	神奈川県小田原市南町4－1－13内田木象嵌製作所	0465-22-7314		神奈川県
海外移住資料館	231-0001	神奈川県横浜市中区新港2-3-1国際協力機構横浜国際センター2F	045-663-3257	http://www.jomm.jp/	神奈川県
カスヤの森現代美術館	238-0032	神奈川県横須賀市平作7-12-13	046-852-3030	http://www.museum-haus-kasuya.com/	神奈川県
神奈川県立青少年センター	220-0044	神奈川県横浜市西区紅葉ケ丘9－1	045-241-3131	http://www.pref.kanagawa.jp/osirase/02/0230/	神奈川県
神奈川県警察交通安全センター　交通展示館	221-0802	神奈川県横浜市神奈川区六角橋6－9－12	045-491-2688		神奈川県
神奈川県立埋蔵文化財センター　資料展示室	232-0033	神奈川県横浜市南区中村町3－191－1	045-252-8661		神奈川県
神奈川県立観音崎公園　　ビジターセンター	239-0813	神奈川県横須賀市鴨居4－1120	0468-43-8316		神奈川県
神奈川県立公文書館	241-0815	神奈川県横浜市旭区中尾1－6－1	045-364-4456		神奈川県
神奈川県立宮ケ瀬ビジターセンター	243-0111	神奈川県清川村宮ケ瀬940－15	0462-88-1373		神奈川県
神奈川県立自然保護センター	243-0121	神奈川県厚木市七沢657	046-248-0323		神奈川県
神奈川県立七沢森林公園・森の民話館	243-0121	神奈川県厚木市七沢901－1	046-247-9870		神奈川県
神奈川県立生命の星・地球博物館	250-0031	神奈川県小田原市入生田499	0465-21-1515	http://nh.kanagawa-museum.jp/	神奈川県
神奈川県立２１世紀の森・森林館	250-0131	神奈川県南足柄市内山2870－5	0465-72-0404		神奈川県
神奈川県総合防災センター	243-0026	神奈川県厚木市下津古久280	046-227-1700	http://www.pref.kanagawa.jp/osirase/03/0340/index.html	神奈川県
神奈川県立金沢文庫	236-0015	神奈川県横浜市金沢区金沢町142	045-701-9069	http://www.planet.pref.kanagawa.jp/city/kanazawa.htm	神奈川県
神奈川県立近代美術館　鎌倉	248-0005	神奈川県鎌倉市雪ノ下2-1-53	0467-22-5000	http://www.moma.pref.kanagawa.jp	神奈川県
神奈川県立近代美術館　鎌倉別館	248-0005	神奈川県鎌倉市雪ノ下2-8-1	0467-22-7718	http://www.moma.pref.kanagawa.jp/museum/	神奈川県
神奈川県立近代美術館 葉山	240-0111	神奈川県三浦郡葉山町一色2208-1	046-875-2800	http://www.moma.pref.kanagawa.jp/museum/	神奈川県
神奈川県立フラワーセンター　大船植物園	247-0072	神奈川県鎌倉市岡本1018	0467-46-2188	http://www.pref.kanagawa.jp/osirase/05/1666	神奈川県
神奈川県立歴史博物館	231-0006	神奈川県横浜市中区南仲通5-60	045-201-0926	http://ch.kanagawa-museum.jp/	神奈川県
鎌倉大谷記念美術館	248-0017	神奈川県鎌倉市佐助1-1-20	0467-22-3801	http://www.komam.co.jp/	神奈川県
鎌倉宮宝物殿	248-0002	神奈川県鎌倉市二階堂154	0467-22-0318		神奈川県
鎌倉古陶美術館	247-0062	神奈川県鎌倉市山ノ内392－1	0467-25-5641		神奈川県
鎌倉国宝館	248-0005	神奈川県鎌倉市雪ノ下2-1-1	0467-22-0753	http://www.city.kamakura.kanagawa.jp/kokuhoukan/index.htm	神奈川県
鎌倉市鏑木清方記念美術館	248-0005	神奈川県鎌倉市雪ノ下1-5-25	0467-23-6405	http://kamakura-arts.or.jp/kaburaki/	神奈川県
鎌倉文学館	248-0016	神奈川県鎌倉市長谷1-5-3	0467-23-3911	http://www.kamakurabungaku.com/	神奈川県
鎌倉彫資料館	248-0006	神奈川県鎌倉市小町2-21-20	0467-25-1502		神奈川県
川崎市平和館	211-0021	神奈川県川崎市中原区木月住吉町1957-1	044-433-0171		神奈川県
川崎市大山街道ふるさと館	213-0001	神奈川県川崎市高津区溝口3－13－3	044-813-4705		神奈川県
川崎市フルーツパーク	214-0006	神奈川県川崎市多摩区菅仙谷3－1－17	044-945-0153		神奈川県
川崎市青少年科学館	214-0032	神奈川県川崎市多摩区枡形7－1－2	044-922-4731		神奈川県
川崎市岡本太郎美術館	214-0032	神奈川県川崎市多摩区枡形7-1-5	044-900-9898	http://www.taromuseum.jp/	神奈川県
川崎市教育委員会文化財課　地名資料室	213-0001	神奈川県川崎市高津区溝口1-6-10生活文化館(てくのかわさき)4F	044-812-1102	http://www.city.kawasaki.jp/88/88bunka/home/top/ctop1.htm	神奈川県
川崎市市民ミュージアム	211-0052	神奈川県川崎市中原区等々力1-2	044-754-4500	http://www.kawasaki-museum.jp/	神奈川県
川崎市伝統工芸館	214-0032	神奈川県川崎市多摩区枡形7-1-3	044-900-1101		神奈川県
川崎市夢見ケ崎動物公園	211-0955	神奈川県川崎市幸区南加瀬1-2-1	044-588-4030	http://www.city.kawasaki.jp/30/30yumemi/home/yumemi/yumemi.htm	神奈川県
川崎市立日本民家園	214-0032	神奈川県川崎市多摩区枡形7-1-1	044-922-2181	http://www.city.kawasaki.jp/88/88minka/home/minka.htm	神奈川県
川崎・砂子の里資料館	210-0006	神奈川県川崎市川崎区砂子1-4-10	044-222-0310	http://www.saito-fumio.gr.jp	神奈川県
環境エネルギー館（ワンダーシップ）	230-0045	神奈川県横浜市鶴見区末広町1－7－7	045-505-5700	http://www.wondership.com/	神奈川県
新横浜カーグラスロックアート美術展示館	224-0001	神奈川県横浜市都築区中川7－1－20	045-910-2251		神奈川県
観音崎灯台資料展示室	239-0813	神奈川県横須賀市鴨居4－1187	0468-41-0311		神奈川県
観音崎自然博物館	239-0813	神奈川県横須賀市鴨居4-1120	046-841-1533	http://kannonzaki-nature-museum.org/index.php?ca=1&oc-1=o	神奈川県
北鎌倉美術館	247-0056	神奈川県鎌倉市大船2135	0467-43-4141		神奈川県
北鎌倉葉祥明美術館	247-0062	神奈川県鎌倉市山ノ内318-4	0467-24-4860		神奈川県
北里大学薬学部付属薬用植物園	228-0829	神奈川県相模原市北里1－15－1	042-778-8111		神奈川県
記念艦「三笠」	238-0003	神奈川県横須賀市稲岡町82－19	046-822-5228	http://www.kinenkan-mikasa.or.jp/	神奈川県
木村美術館	259-0300	神奈川県湯河原町鍛治屋651	0465-62-4429	http://www.yugawara.or.jp/bijiyutu.htm	神奈川県
郷土資料館	229-0207	神奈川県相模原市藤野町名倉3788	042-687-2201		神奈川県
郷土資料室	235-0015	神奈川県横浜市磯子区久木町11－1磯子小学校内	045-751-0765		神奈川県
郷土資料館	259-0314	神奈川県湯河原町宮上566湯河原観光会館内	0465-62-3761	http://www.yugawara.or.jp/bijiyutu.htm	神奈川県
清川村宮ヶ瀬湖水の郷交流館	243-0111	神奈川県清川村宮ヶ瀬951－3宮ヶ瀬湖畔園地内	046-288-3100		神奈川県
ギャラリーヨコハマ	231-0033	神奈川県横浜市中区長者町3－7	045-252-2611		神奈川県
空中散歩館	259-0300	神奈川県湯河原町鍛冶屋813-7	0465-63-5283	http://www.yugawara.or.jp/bijiyutu.htm	神奈川県
熊野郷土博物館	222-0002	神奈川県横浜市港北区師岡町1137師岡熊野神社内	045-531-0150	http://www.kumanojinja.or.jp/	神奈川県
弘明寺観音	232-0067	神奈川県横浜市南区弘明寺町267	045-711-1231		神奈川県
京急油壷マリンパーク	238-0225	神奈川県三浦市三崎町小網代1082	046-881-6281	http://www.aburatsubo.co.jp/	神奈川県
県立神奈川近代文学館	231-0862	神奈川県横浜市中区山手町110	045-622-6666	http://www.kanabun.or.jp	神奈川県
県立丹沢湖ビジターセンター	258-0202	神奈川県山北町玄倉515	0465-78-3888		神奈川県
ゴールデンギャラリー　ぴおシティ店	231-0062	神奈川県横浜市中区桜木町1-1ぴおシティ3階	045-201-7118		神奈川県
さがみ川水道記念館	243-0424	神奈川県海老名市社家107－1	0462-39-2100		神奈川県
さがみ湖おもちゃミュージアム	199-0101	神奈川県相模湖町与瀬385	080-871-1313		神奈川県
相模湖町小原の郷	199-0103	神奈川県相模湖町小原711-1	0426-84-5858		神奈川県
相模田名民家資料館	229-1124	神奈川県相模原市田名4853－2	042-761-7118		神奈川県
相模原市立淵野辺小学校郷土歴史館	229-0006	神奈川県相模原市淵野辺4－6－22	042-752-2044		神奈川県
相模原市立上溝小学校　・民俗資料館	229-1123	神奈川県相模原市上溝7－6－1	042-762-0024		神奈川県
相模原市民ギャラリー	229-0031	神奈川県相模原市相模原1-1-3相模原駅ビルNOW4F	042-776-1262	http://www.city.sagamihara.kanagawa.jp/bunka/gallery/	神奈川県
相模原市立相模川ふれあい科学館	229-1124	神奈川県相模原市田名91-2	042-762-2110	http://www.sagamigawa-fureai.jp/	神奈川県
相模原市立博物館	229-0021	神奈川県相模原市高根3-1-15	042-750-8030	http://www.remus.dti.ne.jp/~sagami/index.htm	神奈川県
寒川町文化財学習センター	253-0111	神奈川県寒川町一之宮7－3－1	0467-75-1930		神奈川県
澤田美喜記念館	255-0003	神奈川県大磯町大磯1152	0463-61-4888		神奈川県
三溪園	231-0824	神奈川県横浜市中区本牧三之谷58-1	045-621-0635	http://www.sankeien.or.jp/	神奈川県
三ノ宮郷土博物館	259-1103	神奈川県伊勢原市三ノ宮1472三ノ宮比々多神社内	0463-95-3237		神奈川県
財団法人　報徳福運社　報徳博物館	250-0013	神奈川県小田原市南町1-5-72	0465-23-1151		神奈川県
湘南江の島香水瓶美術館	251-0035	神奈川県藤沢市片瀬海岸1-11-31	0466-54-2852		神奈川県
シルク博物館	231-0023	神奈川県横浜市中区山下町1シルクセンター内	045-641-0841	http://www.silkmuseum.or.jp/	神奈川県
新江ノ島水族館	251-0035	神奈川県藤沢市片瀬海岸2-19-1	0466-29-9972	http://www.enosui.com/	神奈川県
新横浜ラーメン博物館	222-0033	神奈川県横浜市港北区新横浜2－14－21	045-471-0503	http://www.raumen.co.jp/	神奈川県
寺家ふるさと村・郷土文化館	226-0000	神奈川県横浜市緑区寺家町602	045-961-5862		神奈川県
城ケ島公民館郷土資料展示室	238-0237	神奈川県三浦市三崎町城ケ島411	0468-81-3294		神奈川県
女子美アートミュージアム	228-8538	神奈川県相模原市麻溝台1900	042-778-6111（大学代表）	http://www.joshibi.ac.jp/jam/	神奈川県
